dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.6500,0.6154,0.8000,0.6957,0.7100
00_iris_versicolor_virginica,NeuralNet,1,0.9500,0.9091,1.0000,0.9524,0.9700
00_iris_versicolor_virginica,FullIsingModule,2,0.4000,0.4286,0.6000,0.5000,0.4600
00_iris_versicolor_virginica,NeuralNet,2,0.9000,0.9000,0.9000,0.9000,0.9400
00_iris_versicolor_virginica,FullIsingModule,3,0.5000,0.5000,0.7000,0.5833,0.5800
00_iris_versicolor_virginica,NeuralNet,3,0.8500,0.7692,1.0000,0.8696,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.4500,0.4286,0.3000,0.3529,0.3700
00_iris_versicolor_virginica,NeuralNet,4,0.8500,1.0000,0.7000,0.8235,0.9300
00_iris_versicolor_virginica,FullIsingModule,5,0.6000,0.5556,1.0000,0.7143,0.7300
00_iris_versicolor_virginica,NeuralNet,5,0.8500,0.7692,1.0000,0.8696,0.9500
01_vertebral_column,FullIsingModule,1,0.6750,0.6207,0.9000,0.7347,0.6675
01_vertebral_column,NeuralNet,1,0.7750,0.7037,0.9500,0.8085,0.8800
01_vertebral_column,FullIsingModule,2,0.7250,0.6957,0.8000,0.7442,0.8225
01_vertebral_column,NeuralNet,2,0.7250,0.7368,0.7000,0.7179,0.7925
01_vertebral_column,FullIsingModule,3,0.8000,0.8000,0.8000,0.8000,0.8225
01_vertebral_column,NeuralNet,3,0.7750,0.7895,0.7500,0.7692,0.8425
01_vertebral_column,FullIsingModule,4,0.7000,0.7222,0.6500,0.6842,0.8275
01_vertebral_column,NeuralNet,4,0.8000,0.8333,0.7500,0.7895,0.8850
01_vertebral_column,FullIsingModule,5,0.7949,0.7727,0.8500,0.8095,0.7842
01_vertebral_column,NeuralNet,5,0.5897,0.5769,0.7500,0.6522,0.7263
02_banknote,FullIsingModule,1,0.9672,0.9597,0.9754,0.9675,0.9972
02_banknote,NeuralNet,1,0.9877,0.9760,1.0000,0.9879,0.9999
02_banknote,FullIsingModule,2,0.9795,0.9680,0.9918,0.9798,0.9992
02_banknote,NeuralNet,2,0.9959,1.0000,0.9918,0.9959,1.0000
02_banknote,FullIsingModule,3,0.9672,0.9597,0.9754,0.9675,0.9942
02_banknote,NeuralNet,3,0.9877,1.0000,0.9754,0.9876,1.0000
02_banknote,FullIsingModule,4,0.9467,0.9098,0.9918,0.9490,0.9929
02_banknote,NeuralNet,4,0.9836,0.9758,0.9918,0.9837,0.9978
02_banknote,FullIsingModule,5,0.9918,0.9918,0.9918,0.9918,0.9970
02_banknote,NeuralNet,5,0.9877,0.9760,1.0000,0.9879,0.9991
03_breast_cancer,FullIsingModule,1,0.7412,0.7632,0.6905,0.7250,0.8073
03_breast_cancer,NeuralNet,1,0.8118,0.8250,0.7857,0.8049,0.8870
03_breast_cancer,FullIsingModule,2,0.6824,0.7105,0.6279,0.6667,0.6966
03_breast_cancer,NeuralNet,2,0.7882,0.7907,0.7907,0.7907,0.8724
03_breast_cancer,FullIsingModule,3,0.6353,0.6765,0.5349,0.5974,0.6728
03_breast_cancer,NeuralNet,3,0.7647,0.7170,0.8837,0.7917,0.8189
03_breast_cancer,FullIsingModule,4,0.6786,0.7273,0.5714,0.6400,0.7744
03_breast_cancer,NeuralNet,4,0.7738,0.7447,0.8333,0.7865,0.8662
03_breast_cancer,FullIsingModule,5,0.7143,0.7143,0.7143,0.7143,0.8061
03_breast_cancer,NeuralNet,5,0.7857,0.8333,0.7143,0.7692,0.8985
04_contraceptive_method,FullIsingModule,1,0.6692,0.6825,0.6418,0.6615,0.6979
04_contraceptive_method,NeuralNet,1,0.7293,0.7385,0.7164,0.7273,0.7515
04_contraceptive_method,FullIsingModule,2,0.5865,0.5938,0.5672,0.5802,0.6275
04_contraceptive_method,NeuralNet,2,0.5714,0.5926,0.4776,0.5289,0.6330
04_contraceptive_method,FullIsingModule,3,0.6015,0.5765,0.7424,0.6490,0.7198
04_contraceptive_method,NeuralNet,3,0.6466,0.6203,0.7424,0.6759,0.7648
04_contraceptive_method,FullIsingModule,4,0.7368,0.6867,0.8636,0.7651,0.7787
04_contraceptive_method,NeuralNet,4,0.7744,0.7500,0.8182,0.7826,0.8028
04_contraceptive_method,FullIsingModule,5,0.6316,0.6197,0.6667,0.6423,0.6949
04_contraceptive_method,NeuralNet,5,0.6767,0.6494,0.7576,0.6993,0.7553
05_haberman_Survival,FullIsingModule,1,0.6061,0.6000,0.5625,0.5806,0.6103
05_haberman_Survival,NeuralNet,1,0.6364,0.6000,0.7500,0.6667,0.7279
05_haberman_Survival,FullIsingModule,2,0.5000,0.5000,0.1250,0.2000,0.5000
05_haberman_Survival,NeuralNet,2,0.5312,0.5333,0.5000,0.5161,0.5703
