dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.5200,0.0927,0.5056,0.0727,0.6800,0.2315,0.5692,0.1333,0.5700,0.1396
00_iris_versicolor_virginica,NeuralNet,0.8800,0.0400,0.8695,0.0890,0.9200,0.1166,0.8830,0.0424,0.9340,0.0301
01_vertebral_column,FullIsingModule,0.7390,0.0503,0.7223,0.0626,0.8000,0.0837,0.7545,0.0459,0.7848,0.0607
01_vertebral_column,NeuralNet,0.7329,0.0756,0.7281,0.0876,0.7800,0.0872,0.7475,0.0564,0.8253,0.0595
02_banknote,FullIsingModule,0.9705,0.0150,0.9578,0.0267,0.9852,0.0080,0.9711,0.0143,0.9961,0.0023
02_banknote,NeuralNet,0.9885,0.0040,0.9856,0.0118,0.9918,0.0090,0.9886,0.0040,0.9994,0.0009
03_breast_cancer,FullIsingModule,0.6903,0.0357,0.7183,0.0280,0.6278,0.0681,0.6687,0.0472,0.7514,0.0563
03_breast_cancer,NeuralNet,0.7848,0.0159,0.7821,0.0451,0.8016,0.0561,0.7886,0.0115,0.8686,0.0273
04_contraceptive_method,FullIsingModule,0.6451,0.0539,0.6318,0.0453,0.6963,0.1007,0.6596,0.0598,0.7038,0.0486
04_contraceptive_method,NeuralNet,0.6797,0.0697,0.6701,0.0632,0.7024,0.1173,0.6828,0.0848,0.7415,0.0572
05_haberman_Survival,FullIsingModule,0.5775,0.0812,0.6250,0.1703,0.3250,0.1741,0.4109,0.1786,0.6142,0.0614
05_haberman_Survival,NeuralNet,0.5210,0.0737,0.5194,0.0870,0.4500,0.2069,0.4588,0.1469,0.5729,0.0901
06_heart_failure,FullIsingModule,0.6179,0.0943,0.6185,0.1007,0.6458,0.0964,0.6299,0.0910,0.6388,0.0982
06_heart_failure,NeuralNet,0.5861,0.0602,0.5944,0.0687,0.5826,0.0516,0.5865,0.0507,0.6271,0.0533
07_Ionosphere,FullIsingModule,0.8962,0.0600,0.9229,0.0486,0.8640,0.0967,0.8902,0.0686,0.9603,0.0474
07_Ionosphere,NeuralNet,0.9362,0.0408,0.9589,0.0247,0.9120,0.0854,0.9324,0.0467,0.9728,0.0387
08_SPECTF_Heart,FullIsingModule,0.7200,0.0910,0.6654,0.0900,0.9250,0.0612,0.7687,0.0599,0.8143,0.0515
08_SPECTF_Heart,NeuralNet,0.6583,0.0486,0.6608,0.0825,0.6929,0.0974,0.6651,0.0372,0.7567,0.1071
