=== EXP1: Matrix FullIsing vs Network1L ===

[EXP1] Dataset: xor_1d
[EXP1][xor_1d][Full][size=x1F] epoch 001/150 | loss=0.2508 | acc=0.5750
[EXP1][xor_1d][Full][size=x1F] epoch 020/150 | loss=0.2501 | acc=0.5750
[EXP1][xor_1d][Full][size=x1F] epoch 040/150 | loss=0.2502 | acc=0.6000
[EXP1][xor_1d][Full][size=x1F] epoch 060/150 | loss=0.2501 | acc=0.6250
[EXP1][xor_1d][Full][size=x1F] epoch 080/150 | loss=0.2500 | acc=0.6250
[EXP1][xor_1d][Full][size=x1F] epoch 100/150 | loss=0.2500 | acc=0.5500
[EXP1][xor_1d][Full][size=x1F] epoch 120/150 | loss=0.2503 | acc=0.5000
[EXP1][xor_1d][Full][size=x1F] epoch 140/150 | loss=0.2502 | acc=0.5000
[EXP1][xor_1d][Full][size=x1F] epoch 150/150 | loss=0.2500 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 001/150 | loss=0.2516 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 020/150 | loss=0.2501 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 040/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 060/150 | loss=0.2501 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 080/150 | loss=0.2500 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 100/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 120/150 | loss=0.2501 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 140/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x1F] epoch 150/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 001/150 | loss=0.2581 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 020/150 | loss=0.2504 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 040/150 | loss=0.2500 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 060/150 | loss=0.2501 | acc=0.5750
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 080/150 | loss=0.2500 | acc=0.5250
[EXP1][xor_1d][Net1L][n=2][size=x1F] epoch 100/150 | loss=0.2500 | acc=0.6250
