dataset,model,num_nodi,size_annealer,size_label,accuracy,precision,recall,f1,auc,training_time_s,error
xor_1d,FullIsing,1,1,x1F,0.5,0.0,0.0,0.0,0.59,17.21492609998677,
xor_1d,Net1L,1,1,x1F,0.375,0.391304347826087,0.45,0.4186046511627907,0.41000000000000003,18.87925349996658,
xor_1d,Net1L,2,1,x1F,0.525,0.5333333333333333,0.4,0.45714285714285713,0.5525,32.68322940001963,
xor_1d,Net1L,3,1,x1F,0.625,0.6470588235294118,0.55,0.5945945945945946,0.6075,48.04629790002946,
xor_1d,Net1L,5,1,x1F,0.625,0.6470588235294118,0.55,0.5945945945945946,0.5825,79.45440660003806,
xor_1d,Net1L,8,1,x1F,0.6,0.5909090909090909,0.65,0.6190476190476191,0.59,129.3841367000132,
xor_1d,FullIsing,1,2,x2F,0.375,0.391304347826087,0.45,0.4186046511627907,0.4225,17.554707400035113,
xor_1d,Net1L,1,2,x2F,0.4,0.3888888888888889,0.35,0.3684210526315789,0.4225,17.63803299999563,
xor_1d,Net1L,2,2,x2F,0.375,0.391304347826087,0.45,0.4186046511627907,0.4225,34.57353709999006,
xor_1d,Net1L,3,2,x2F,0.375,0.38095238095238093,0.4,0.3902439024390244,0.4175,50.257646000012755,
xor_1d,Net1L,5,2,x2F,0.4,0.3888888888888889,0.35,0.3684210526315789,0.4225,82.73587520001456,
xor_1d,Net1L,8,2,x2F,0.375,0.391304347826087,0.45,0.4186046511627907,0.425,131.23633499996504,
xor_1d,FullIsing,1,3,x3F,0.425,0.42105263157894735,0.4,0.41025641025641024,0.435,17.537930399994366,
xor_1d,Net1L,1,3,x3F,0.4,0.4090909090909091,0.45,0.42857142857142855,0.4325,17.663733399997,
xor_1d,Net1L,2,3,x3F,0.425,0.42857142857142855,0.45,0.43902439024390244,0.435,34.436464399972465,
xor_1d,Net1L,3,3,x3F,0.4,0.4,0.4,0.4,0.42500000000000004,51.20530560001498,
xor_1d,Net1L,5,3,x3F,0.4,0.3888888888888889,0.35,0.3684210526315789,0.4425,84.57380210002884,
xor_1d,Net1L,8,3,x3F,0.4,0.3888888888888889,0.35,0.3684210526315789,0.43,134.43583319999743,
xor_1d,FullIsing,1,4,x4F,0.425,0.42105263157894735,0.4,0.41025641025641024,0.45249999999999996,18.066721700015478,
xor_1d,Net1L,1,4,x4F,0.425,0.42105263157894735,0.4,0.41025641025641024,0.44875,18.14144059998216,
xor_1d,Net1L,2,4,x4F,0.45,0.45,0.45,0.45,0.44249999999999995,35.46726080001099,
xor_1d,Net1L,3,4,x4F,0.375,0.391304347826087,0.45,0.4186046511627907,0.46249999999999997,52.66075709997676,
xor_1d,Net1L,5,4,x4F,0.425,0.42105263157894735,0.4,0.41025641025641024,0.4475,86.8063964000321,
xor_1d,Net1L,8,4,x4F,0.4,0.4090909090909091,0.45,0.42857142857142855,0.445,138.52885740000056,
xor_1d,FullIsing,1,10,10,0.425,0.42105263157894735,0.4,0.41025641025641024,0.51,21.326519199996255,
xor_1d,Net1L,1,10,10,0.45,0.45,0.45,0.45,0.5025,21.198575300048105,
xor_1d,Net1L,2,10,10,0.45,0.45,0.45,0.45,0.5175000000000001,41.69908490002854,
xor_1d,Net1L,3,10,10,0.425,0.42105263157894735,0.4,0.41025641025641024,0.5075000000000001,62.13852780003799,
xor_1d,Net1L,5,10,10,0.45,0.45,0.45,0.45,0.5375000000000001,103.0683083999902,
xor_1d,Net1L,8,10,10,0.45,0.45,0.45,0.45,0.52,164.19717579998542,
xor_1d,FullIsing,1,20,20,0.55,0.5625,0.45,0.5,0.6325000000000001,28.159366499981843,
xor_1d,Net1L,1,20,20,0.475,0.47368421052631576,0.45,0.46153846153846156,0.59,27.949042199994437,
xor_1d,Net1L,2,20,20,0.975,1.0,0.95,0.9743589743589743,1.0,54.91529489995446,
xor_1d,Net1L,3,20,20,0.45,0.45,0.45,0.45,0.59,82.08898080000654,
xor_1d,Net1L,5,20,20,1.0,1.0,1.0,1.0,1.0,135.99371459998656,
xor_1d,Net1L,8,20,20,1.0,1.0,1.0,1.0,1.0,218.1614139000303,
xor_1d,FullIsing,1,30,30,0.7,0.75,0.6,0.6666666666666666,0.81,38.42084129998693,
xor_1d,Net1L,1,30,30,0.6,0.6,0.6,0.6,0.6775,37.47205819998635,
xor_1d,Net1L,2,30,30,1.0,1.0,1.0,1.0,1.0,73.43761740002083,
xor_1d,Net1L,3,30,30,1.0,1.0,1.0,1.0,1.0,108.82267069997033,
xor_1d,Net1L,5,30,30,1.0,1.0,1.0,1.0,1.0,180.79658069997095,
xor_1d,Net1L,8,30,30,1.0,1.0,1.0,1.0,1.0,289.9039735000115,
xor_1d,FullIsing,1,50,50,0.95,1.0,0.9,0.9473684210526315,0.9924999999999999,68.65577690000646,
xor_1d,Net1L,1,50,50,0.8,0.8,0.8,0.8,0.8825000000000001,64.49994540004991,
xor_1d,Net1L,2,50,50,1.0,1.0,1.0,1.0,1.0,122.81964509998215,
xor_1d,Net1L,3,50,50,1.0,1.0,1.0,1.0,1.0,182.083617199969,
xor_1d,Net1L,5,50,50,1.0,1.0,1.0,1.0,1.0,305.3499269000022,
xor_1d,Net1L,8,50,50,1.0,1.0,1.0,1.0,1.0,481.1983750000363,
xor_2d,FullIsing,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.895625,33.602842000022065,
xor_2d,Net1L,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.88375,33.62921169999754,
xor_2d,Net1L,2,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,66.04569369996898,
xor_2d,Net1L,3,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.999375,98.45836430002237,
xor_2d,Net1L,5,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.9881249999999999,162.8362259999849,
xor_2d,Net1L,8,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,259.3144457999733,
xor_2d,FullIsing,1,4,x2F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.891875,35.12759079999523,
xor_2d,Net1L,1,4,x2F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.92625,35.08284760004608,
xor_2d,Net1L,2,4,x2F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,69.30367649998516,
xor_2d,Net1L,3,4,x2F,0.9875,1.0,0.975,0.9873417721518988,1.0,103.44285640004091,
xor_2d,Net1L,5,4,x2F,1.0,1.0,1.0,1.0,1.0,171.35154020000482,
xor_2d,Net1L,8,4,x2F,1.0,1.0,1.0,1.0,1.0,273.5823825999978,
xor_2d,FullIsing,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,37.06494179996662,
xor_2d,Net1L,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,37.153372399974614,
xor_2d,Net1L,2,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,73.32944930001395,
xor_2d,Net1L,3,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,109.67550860001938,
xor_2d,Net1L,5,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,182.06942930002697,
xor_2d,Net1L,8,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,291.61157100001583,
xor_2d,FullIsing,1,8,x4F,0.825,0.8095238095238095,0.85,0.8292682926829268,0.925625,38.860728800005745,
xor_2d,Net1L,1,8,x4F,0.825,0.8421052631578947,0.8,0.8205128205128205,0.8925000000000001,39.07013219996588,
xor_2d,Net1L,2,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,77.17020519997459,
xor_2d,Net1L,3,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,115.4418223000248,
xor_2d,Net1L,5,8,x4F,0.975,0.975,0.975,0.975,0.999375,191.97334650001721,
xor_2d,Net1L,8,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,306.09547950001433,
xor_2d,FullIsing,1,10,10,0.825,0.8095238095238095,0.85,0.8292682926829268,0.92625,41.25084550003521,
xor_2d,Net1L,1,10,10,0.8375,0.9090909090909091,0.75,0.821917808219178,0.8912500000000001,41.27741189999506,
xor_2d,Net1L,2,10,10,0.975,0.975,0.975,0.975,0.99875,81.7158819999895,
xor_2d,Net1L,3,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,122.5639155000099,
xor_2d,Net1L,5,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.99875,204.0296098999679,
xor_2d,Net1L,8,10,10,0.975,0.975,0.975,0.975,0.999375,326.35231220000423,
xor_2d,FullIsing,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,54.40610690001631,
xor_2d,Net1L,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,53.933115100022405,
xor_2d,Net1L,2,20,20,0.975,1.0,0.95,0.9743589743589743,0.999375,108.75191419996554,
xor_2d,Net1L,3,20,20,0.9875,1.0,0.975,0.9873417721518988,0.9987499999999999,162.28531170001952,
xor_2d,Net1L,5,20,20,0.975,0.9523809523809523,1.0,0.975609756097561,0.9974999999999999,270.8274508000468,
xor_2d,Net1L,8,20,20,0.975,0.975,0.975,0.975,0.9981249999999999,430.6744926000247,
xor_2d,FullIsing,1,30,30,0.7875,0.7090909090909091,0.975,0.8210526315789474,0.923125,72.24670700001298,
xor_2d,Net1L,1,30,30,0.85,0.8181818181818182,0.9,0.8571428571428571,0.9243750000000001,70.81558059999952,
xor_2d,Net1L,2,30,30,0.975,0.9523809523809523,1.0,0.975609756097561,0.9981249999999999,143.69569829996908,
xor_2d,Net1L,3,30,30,1.0,1.0,1.0,1.0,1.0,215.1291768999654,
xor_2d,Net1L,5,30,30,1.0,1.0,1.0,1.0,1.0,355.053590000025,
xor_2d,Net1L,8,30,30,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,568.066663799982,
xor_2d,FullIsing,1,50,50,0.65,0.6,0.9,0.72,0.84625,125.02025270002196,
xor_2d,Net1L,1,50,50,0.85,0.8181818181818182,0.9,0.8571428571428571,0.923125,117.38811569998506,
xor_2d,Net1L,2,50,50,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,244.35349519999,
xor_2d,Net1L,3,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,367.5798790999688,
xor_2d,Net1L,5,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,605.3369943000143,
xor_2d,Net1L,8,50,50,0.9625,0.9302325581395349,1.0,0.963855421686747,1.0,965.7323711999925,
xor_3d,FullIsing,1,3,x1F,0.475,0.4803921568627451,0.6125,0.5384615384615384,0.45796875000000004,67.72370779997436,
xor_3d,Net1L,1,3,x1F,0.5,0.5,1.0,0.6666666666666666,0.45429687499999993,67.93096610001521,
xor_3d,Net1L,2,3,x1F,0.48125,0.46511627906976744,0.25,0.3252032520325203,0.46125,133.95297490002122,
xor_3d,Net1L,3,3,x1F,0.5,0.0,0.0,0.0,0.5334374999999999,199.7052887000027,
xor_3d,Net1L,5,3,x1F,0.4375,0.45689655172413796,0.6625,0.5408163265306123,0.45328125,331.6276470000157,
xor_3d,Net1L,8,3,x1F,0.46875,0.4782608695652174,0.6875,0.5641025641025641,0.45890624999999996,529.2364245000063,
xor_3d,FullIsing,1,6,x2F,0.5,0.0,0.0,0.0,0.4565625,73.87789559998782,
xor_3d,Net1L,1,6,x2F,0.5,0.0,0.0,0.0,0.45671874999999995,74.26738320000004,
xor_3d,Net1L,2,6,x2F,0.5,0.5,0.9875,0.6638655462184874,0.54375,146.10235409997404,
xor_3d,Net1L,3,6,x2F,0.5,0.0,0.0,0.0,0.4771875,218.74567190004745,
xor_3d,Net1L,5,6,x2F,0.48125,0.42857142857142855,0.1125,0.1782178217821782,0.43718749999999995,363.0325532000279,
xor_3d,Net1L,8,6,x2F,0.48125,0.2857142857142857,0.025,0.04597701149425287,0.4409375,576.5180921999854,
xor_3d,FullIsing,1,9,x3F,0.5,0.5,1.0,0.6666666666666666,0.5426562500000001,81.08931680000387,
xor_3d,Net1L,1,9,x3F,0.5,0.0,0.0,0.0,0.540625,80.83983289997559,
xor_3d,Net1L,2,9,x3F,0.5,0.5,1.0,0.6666666666666666,0.4565625,159.74098740000045,
xor_3d,Net1L,3,9,x3F,0.45,0.4642857142857143,0.65,0.5416666666666666,0.42953125,237.85559819999617,
xor_3d,Net1L,5,9,x3F,0.5,0.5,1.0,0.6666666666666666,0.5025000000000001,393.4471559000085,
xor_3d,Net1L,8,9,x3F,0.5,0.0,0.0,0.0,0.4471875,631.6895704999915,
xor_3d,FullIsing,1,12,x4F,0.5,0.5,1.0,0.6666666666666666,0.54890625,88.50371779996203,
xor_3d,Net1L,1,12,x4F,0.49375,0.49473684210526314,0.5875,0.5371428571428571,0.452265625,87.52437290002126,
xor_3d,Net1L,2,12,x4F,0.5,0.0,0.0,0.0,0.459296875,173.15401190001285,
xor_3d,Net1L,3,12,x4F,0.4875,0.49193548387096775,0.7625,0.5980392156862745,0.43828124999999996,257.2564735999913,
xor_3d,Net1L,5,12,x4F,0.49375,0.4968553459119497,0.9875,0.6610878661087866,0.44609375,427.03245480003534,
xor_3d,Net1L,8,12,x4F,0.5,0.5,1.0,0.6666666666666666,0.47,679.2281720000319,
xor_3d,FullIsing,1,10,10,0.49375,0.4968152866242038,0.975,0.6582278481012658,0.44625,82.30237329995725,
xor_3d,Net1L,1,10,10,0.5,0.5,1.0,0.6666666666666666,0.45039062500000004,81.79580409999471,
xor_3d,Net1L,2,10,10,0.48125,0.48148148148148145,0.4875,0.484472049689441,0.4396875,162.04904549999628,
xor_3d,Net1L,3,10,10,0.45,0.4642857142857143,0.65,0.5416666666666666,0.43000000000000005,241.54312799999025,
xor_3d,Net1L,5,10,10,0.49375,0.4961832061068702,0.8125,0.6161137440758294,0.4340625,401.4522997000022,
xor_3d,Net1L,8,10,10,0.49375,0.4968553459119497,0.9875,0.6610878661087866,0.43828125,641.2704871000024,
xor_3d,FullIsing,1,20,20,0.5,0.5,1.0,0.6666666666666666,0.54375,114.48729740001727,
xor_3d,Net1L,1,20,20,0.4875,0.4583333333333333,0.1375,0.21153846153846154,0.453125,108.2845992000075,
xor_3d,Net1L,2,20,20,0.5,0.0,0.0,0.0,0.538515625,214.58067720005056,
xor_3d,Net1L,3,20,20,0.46875,0.48299319727891155,0.8875,0.6255506607929515,0.45515625000000004,320.9706415999681,
xor_3d,Net1L,5,20,20,0.5,0.0,0.0,0.0,0.45859374999999997,533.726814099995,
xor_3d,Net1L,8,20,20,0.475,0.4375,0.175,0.25,0.4528125,854.1766748999944,
xor_3d,FullIsing,1,30,30,0.5,0.0,0.0,0.0,0.45890624999999996,160.82959850004409,
xor_3d,Net1L,1,30,30,0.5,0.5,1.0,0.6666666666666666,0.462421875,144.452570799971,
xor_3d,Net1L,2,30,30,0.5,0.5,1.0,0.6666666666666666,0.46242187500000004,287.1605659999768,
xor_3d,Net1L,3,30,30,0.5,0.0,0.0,0.0,0.462578125,430.1046254999819,
xor_3d,Net1L,5,30,30,0.5,0.5,1.0,0.6666666666666666,0.5359375000000001,713.2311991999741,
xor_3d,Net1L,8,30,30,0.5,0.5,1.0,0.6666666666666666,0.46023437500000003,1139.1142658999888,
xor_3d,FullIsing,1,50,50,0.5,0.5,1.0,0.6666666666666666,0.5367187499999999,280.02933299995493,
xor_3d,Net1L,1,50,50,0.5,0.0,0.0,0.0,0.4671874999999999,239.23045929998625,
xor_3d,Net1L,2,50,50,0.525,0.5135135135135135,0.95,0.6666666666666666,0.5434375,481.6798067999771,
xor_3d,Net1L,3,50,50,0.5,0.0,0.0,0.0,0.537578125,718.4194052999956,
xor_3d,Net1L,5,50,50,0.5,0.5,1.0,0.6666666666666666,0.5358593749999999,1195.0714075000142,
xor_3d,Net1L,8,50,50,0.5,0.5,1.0,0.6666666666666666,0.475703125,1917.5561585999676,
iris,FullIsing,1,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,9.4342830000096,
iris,Net1L,1,4,x1F,0.65,0.7142857142857143,0.5,0.5882352941176471,0.5800000000000001,9.440543300006539,
iris,Net1L,2,4,x1F,0.6,0.625,0.5,0.5555555555555556,0.5800000000000001,18.03617119998671,
iris,Net1L,3,4,x1F,0.6,0.6666666666666666,0.4,0.5,0.5800000000000001,26.856771599967033,
iris,Net1L,5,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,44.098884199978784,
