=== EXP2: Offset Sweep ===

[EXP2] Dataset: xor_1d
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 001/200 | loss=3.0122 | acc=0.5000
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 020/200 | loss=0.5533 | acc=0.5750
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 040/200 | loss=0.4231 | acc=0.8750
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 060/200 | loss=0.3404 | acc=0.8250
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 080/200 | loss=0.2815 | acc=0.8500
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 100/200 | loss=0.2388 | acc=0.8750
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 120/200 | loss=0.2079 | acc=0.9000
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 140/200 | loss=0.1828 | acc=0.9250
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 160/200 | loss=0.1660 | acc=0.9000
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 180/200 | loss=0.1516 | acc=0.9750
[EXP2][xor_1d][FullIsing_default][fold=1] epoch 200/200 | loss=0.1359 | acc=0.9250
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 001/200 | loss=1.2866 | acc=0.5000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 020/200 | loss=0.4852 | acc=0.8000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 040/200 | loss=0.3714 | acc=0.8750
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 060/200 | loss=0.2896 | acc=0.9500
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 080/200 | loss=0.2325 | acc=0.9750
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 100/200 | loss=0.1974 | acc=1.0000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 120/200 | loss=0.1678 | acc=1.0000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 140/200 | loss=0.1479 | acc=1.0000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 160/200 | loss=0.1342 | acc=1.0000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 180/200 | loss=0.1200 | acc=1.0000
[EXP2][xor_1d][FullIsing_1_over_N][fold=1] epoch 200/200 | loss=0.1114 | acc=1.0000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 001/200 | loss=1.9639 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 020/200 | loss=0.6949 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 040/200 | loss=0.6946 | acc=0.6500
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 060/200 | loss=0.6949 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 080/200 | loss=0.6956 | acc=0.5250
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 100/200 | loss=0.6932 | acc=0.6000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 120/200 | loss=0.6934 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 140/200 | loss=0.6960 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 160/200 | loss=0.6937 | acc=0.5000
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 180/200 | loss=0.6933 | acc=0.5250
[EXP2][xor_1d][FullIsing_zero][fold=1] epoch 200/200 | loss=0.6941 | acc=0.5000
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 001/200 | loss=2.0162 | acc=0.5000
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 020/200 | loss=0.6953 | acc=0.5000
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 040/200 | loss=0.6940 | acc=0.4000
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 060/200 | loss=0.6936 | acc=0.4000
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 080/200 | loss=0.6942 | acc=0.5500
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 100/200 | loss=0.6913 | acc=0.3750
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 120/200 | loss=0.6916 | acc=0.3750
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 140/200 | loss=0.6935 | acc=0.4500
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 160/200 | loss=0.6910 | acc=0.4250
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 180/200 | loss=0.6902 | acc=0.3750
[EXP2][xor_1d][FullIsing_small_neg][fold=1] epoch 200/200 | loss=0.6904 | acc=0.3750
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 001/200 | loss=7.3218 | acc=0.5000
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 020/200 | loss=0.6470 | acc=0.5000
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 040/200 | loss=0.5509 | acc=0.7000
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 060/200 | loss=0.4568 | acc=0.8250
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 080/200 | loss=0.3737 | acc=0.8750
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 100/200 | loss=0.3025 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 120/200 | loss=0.2499 | acc=0.9500
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 140/200 | loss=0.2130 | acc=0.9500
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 160/200 | loss=0.1878 | acc=0.9500
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 180/200 | loss=0.1684 | acc=0.9750
[EXP2][xor_1d][FullIsing_large_neg][fold=1] epoch 200/200 | loss=0.1534 | acc=0.9750
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 001/200 | loss=3.9695 | acc=0.5000
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 020/200 | loss=0.5634 | acc=0.6500
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 040/200 | loss=0.4767 | acc=0.7250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 060/200 | loss=0.3955 | acc=0.8500
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 080/200 | loss=0.3237 | acc=0.9000
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 100/200 | loss=0.2637 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 120/200 | loss=0.2204 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 140/200 | loss=0.1909 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 160/200 | loss=0.1705 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 180/200 | loss=0.1542 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 200/200 | loss=0.1413 | acc=0.9250
[EXP2][xor_1d][Net1L_default][fold=1] epoch 001/200 | loss=3.5992 | acc=0.5000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 020/200 | loss=0.4801 | acc=0.8000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 040/200 | loss=0.1615 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 060/200 | loss=0.0821 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 080/200 | loss=0.0542 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 100/200 | loss=0.0458 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 120/200 | loss=0.0360 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 140/200 | loss=0.0437 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 160/200 | loss=0.0319 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 180/200 | loss=0.0305 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 200/200 | loss=0.0263 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 001/200 | loss=1.5861 | acc=0.5000
