dataset,model,strategy,accuracy,precision,recall,f1,auc,training_time_s,convergence_epoch_90pct,error
xor_1d,FullIsing,zeros,0.975,1.0,0.95,0.9743589743589743,0.995,98.65757709997706,43.0,
xor_1d,Net1L,zeros,1.0,1.0,1.0,1.0,1.0,414.8677010999527,24.0,
xor_1d,FullIsing,small_randn,0.975,1.0,0.95,0.9743589743589743,0.9974999999999999,95.90723759995308,46.0,
xor_1d,Net1L,small_randn,1.0,1.0,1.0,1.0,1.0,415.09615909995046,24.0,
xor_1d,FullIsing,medium_randn,0.85,0.85,0.85,0.85,0.9675,85.3604908999987,47.0,
xor_1d,Net1L,medium_randn,1.0,1.0,1.0,1.0,1.0,368.52332479995675,74.0,
xor_1d,FullIsing,large_randn,0.525,0.6,0.15,0.24,0.615,65.70259319996694,1.0,
xor_1d,Net1L,large_randn,0.75,0.6923076923076923,0.9,0.782608695652174,0.85,322.15369110001484,22.0,
xor_1d,FullIsing,theta_ratio,0.5,0.0,0.0,0.0,0.5425,59.78440360003151,1.0,
xor_1d,Net1L,theta_ratio,0.5,0.0,0.0,0.0,0.44,294.6679874000256,1.0,
xor_2d,FullIsing,zeros,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.7943749999999999,156.8364838999696,13.0,
xor_2d,Net1L,zeros,0.975,0.9523809523809523,1.0,0.975609756097561,1.0,790.5419090000214,45.0,
xor_2d,FullIsing,small_randn,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.79375,156.5502764999983,13.0,
xor_2d,Net1L,small_randn,1.0,1.0,1.0,1.0,1.0,788.4920877999975,49.0,
xor_2d,FullIsing,medium_randn,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.8,152.6903157000197,24.0,
xor_2d,Net1L,medium_randn,0.9375,0.926829268292683,0.95,0.9382716049382716,0.99,746.5501011000015,6.0,
xor_2d,FullIsing,large_randn,0.5,0.5,1.0,0.6666666666666666,0.67375,130.43255430000136,1.0,
xor_2d,Net1L,large_randn,0.6375,0.5964912280701754,0.85,0.7010309278350515,0.7456249999999999,642.6497464000131,9.0,
xor_2d,FullIsing,theta_ratio,0.4125,0.4461538461538462,0.725,0.5523809523809524,0.57375,119.21375510003418,1.0,
xor_2d,Net1L,theta_ratio,0.5,0.5,1.0,0.6666666666666666,0.5225,587.9723494999926,1.0,
xor_3d,FullIsing,zeros,0.58125,0.6444444444444445,0.3625,0.464,0.6340625,327.1304468999733,6.0,
xor_3d,Net1L,zeros,0.925,0.8863636363636364,0.975,0.9285714285714286,0.9712500000000001,1551.0242679999792,67.0,
xor_3d,FullIsing,small_randn,0.575,0.6304347826086957,0.3625,0.4603174603174603,0.6234375,327.92502249998506,6.0,
xor_3d,Net1L,small_randn,0.91875,0.8850574712643678,0.9625,0.9221556886227545,0.9721875,1529.7964325000066,68.0,
xor_3d,FullIsing,medium_randn,0.575,0.6153846153846154,0.4,0.48484848484848486,0.6509375000000001,307.89442890003556,5.0,
xor_3d,Net1L,medium_randn,0.91875,0.9036144578313253,0.9375,0.9202453987730062,0.9793749999999999,1476.1648788000457,50.0,
xor_3d,FullIsing,large_randn,0.5,0.0,0.0,0.0,0.4749999999999999,259.76709959999425,1.0,
xor_3d,Net1L,large_randn,0.5,0.0,0.0,0.0,0.538359375,1282.4731239000103,1.0,
xor_3d,FullIsing,theta_ratio,0.5,0.0,0.0,0.0,0.5821875,243.89454249996925,1.0,
xor_3d,Net1L,theta_ratio,0.4875,0.0,0.0,0.0,0.49203125000000003,1164.5309471000219,1.0,
