=== EXP4: Staged Training ===

[EXP4] Dataset: xor_1d
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 001/250 | loss=2.9023 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 020/250 | loss=0.8810 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 040/250 | loss=0.8475 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 060/250 | loss=0.8388 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 080/250 | loss=0.8382 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase1]  epoch 100/250 | loss=0.8333 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 120/250 | loss=0.6199 | acc=0.5000
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 140/250 | loss=0.5737 | acc=0.7750
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 160/250 | loss=0.5304 | acc=0.8000
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 180/250 | loss=0.4957 | acc=0.8250
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 200/250 | loss=0.4693 | acc=0.8250
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 220/250 | loss=0.4467 | acc=0.8500
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 240/250 | loss=0.4172 | acc=0.8000
[EXP4][xor_1d][staged_FullIsing][phase2]  epoch 250/250 | loss=0.4102 | acc=0.8500
[EXP4][xor_1d][baseline_FullIsing] epoch 001/250 | loss=3.0597 | acc=0.5000
[EXP4][xor_1d][baseline_FullIsing] epoch 020/250 | loss=0.5813 | acc=0.5500
[EXP4][xor_1d][baseline_FullIsing] epoch 040/250 | loss=0.4682 | acc=0.7250
[EXP4][xor_1d][baseline_FullIsing] epoch 060/250 | loss=0.3879 | acc=0.8000
[EXP4][xor_1d][baseline_FullIsing] epoch 080/250 | loss=0.3317 | acc=0.8250
[EXP4][xor_1d][baseline_FullIsing] epoch 100/250 | loss=0.2868 | acc=0.8250
[EXP4][xor_1d][baseline_FullIsing] epoch 120/250 | loss=0.2507 | acc=0.8500
[EXP4][xor_1d][baseline_FullIsing] epoch 140/250 | loss=0.2251 | acc=0.8750
[EXP4][xor_1d][baseline_FullIsing] epoch 160/250 | loss=0.2006 | acc=0.8750
[EXP4][xor_1d][baseline_FullIsing] epoch 180/250 | loss=0.1780 | acc=0.9000
[EXP4][xor_1d][baseline_FullIsing] epoch 200/250 | loss=0.1627 | acc=0.9000
[EXP4][xor_1d][baseline_FullIsing] epoch 220/250 | loss=0.1423 | acc=0.9250
[EXP4][xor_1d][baseline_FullIsing] epoch 240/250 | loss=0.1323 | acc=0.9250
[EXP4][xor_1d][baseline_FullIsing] epoch 250/250 | loss=0.1292 | acc=0.9250
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 001/250 | loss=3.5277 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 020/250 | loss=1.0464 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 040/250 | loss=1.0081 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 060/250 | loss=0.9990 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 080/250 | loss=0.9949 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase1]  epoch 100/250 | loss=0.9921 | acc=0.5000
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 120/250 | loss=0.3686 | acc=1.0000
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 140/250 | loss=0.0758 | acc=0.9250
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 160/250 | loss=0.0492 | acc=0.9750
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 180/250 | loss=0.0484 | acc=0.9500
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 200/250 | loss=0.0497 | acc=0.9750
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 220/250 | loss=0.0412 | acc=0.9500
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 240/250 | loss=0.0519 | acc=1.0000
[EXP4][xor_1d][staged_Net1L][phase2]  epoch 250/250 | loss=0.0442 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 001/250 | loss=3.6529 | acc=0.5000
[EXP4][xor_1d][baseline_Net1L] epoch 020/250 | loss=0.5424 | acc=0.7000
[EXP4][xor_1d][baseline_Net1L] epoch 040/250 | loss=0.3443 | acc=0.8250
[EXP4][xor_1d][baseline_Net1L] epoch 060/250 | loss=0.1304 | acc=0.9250
[EXP4][xor_1d][baseline_Net1L] epoch 080/250 | loss=0.0602 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 100/250 | loss=0.0510 | acc=0.9750
[EXP4][xor_1d][baseline_Net1L] epoch 120/250 | loss=0.0411 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 140/250 | loss=0.0346 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 160/250 | loss=0.0276 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 180/250 | loss=0.0269 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 200/250 | loss=0.0274 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 220/250 | loss=0.0245 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 240/250 | loss=0.0212 | acc=1.0000
[EXP4][xor_1d][baseline_Net1L] epoch 250/250 | loss=0.0208 | acc=1.0000

[EXP4] Dataset: xor_2d
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 001/250 | loss=1.6899 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 020/250 | loss=0.8171 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 040/250 | loss=0.8148 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 060/250 | loss=0.8172 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 080/250 | loss=0.8163 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase1]  epoch 100/250 | loss=0.8151 | acc=0.5000
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 120/250 | loss=0.5251 | acc=0.7000
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 140/250 | loss=0.4702 | acc=0.7125
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 160/250 | loss=0.4489 | acc=0.7125
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 180/250 | loss=0.4340 | acc=0.7250
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 200/250 | loss=0.4288 | acc=0.7375
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 220/250 | loss=0.4183 | acc=0.7500
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 240/250 | loss=0.4119 | acc=0.7750
[EXP4][xor_2d][staged_FullIsing][phase2]  epoch 250/250 | loss=0.4096 | acc=0.7875
[EXP4][xor_2d][baseline_FullIsing] epoch 001/250 | loss=1.7729 | acc=0.5000
[EXP4][xor_2d][baseline_FullIsing] epoch 020/250 | loss=0.6272 | acc=0.6125
[EXP4][xor_2d][baseline_FullIsing] epoch 040/250 | loss=0.5527 | acc=0.6375
[EXP4][xor_2d][baseline_FullIsing] epoch 060/250 | loss=0.5147 | acc=0.6500
[EXP4][xor_2d][baseline_FullIsing] epoch 080/250 | loss=0.5004 | acc=0.6875
[EXP4][xor_2d][baseline_FullIsing] epoch 100/250 | loss=0.4939 | acc=0.7000
[EXP4][xor_2d][baseline_FullIsing] epoch 120/250 | loss=0.4884 | acc=0.6875
[EXP4][xor_2d][baseline_FullIsing] epoch 140/250 | loss=0.4857 | acc=0.6500
[EXP4][xor_2d][baseline_FullIsing] epoch 160/250 | loss=0.4847 | acc=0.6500
[EXP4][xor_2d][baseline_FullIsing] epoch 180/250 | loss=0.4804 | acc=0.6875
[EXP4][xor_2d][baseline_FullIsing] epoch 200/250 | loss=0.4859 | acc=0.6500
[EXP4][xor_2d][baseline_FullIsing] epoch 220/250 | loss=0.4800 | acc=0.6500
[EXP4][xor_2d][baseline_FullIsing] epoch 240/250 | loss=0.4781 | acc=0.6875
[EXP4][xor_2d][baseline_FullIsing] epoch 250/250 | loss=0.4794 | acc=0.6625
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 001/250 | loss=2.0974 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 020/250 | loss=0.9708 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 040/250 | loss=0.9681 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 060/250 | loss=0.9679 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 080/250 | loss=0.9676 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase1]  epoch 100/250 | loss=0.9673 | acc=0.5000
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 120/250 | loss=0.2781 | acc=0.8750
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 140/250 | loss=0.1775 | acc=0.9000
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 160/250 | loss=0.1273 | acc=0.9500
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 180/250 | loss=0.1030 | acc=0.9500
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 200/250 | loss=0.1165 | acc=0.9500
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 220/250 | loss=0.1270 | acc=0.9000
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 240/250 | loss=0.1225 | acc=0.9500
[EXP4][xor_2d][staged_Net1L][phase2]  epoch 250/250 | loss=0.1135 | acc=0.9500
[EXP4][xor_2d][baseline_Net1L] epoch 001/250 | loss=2.1238 | acc=0.5000
[EXP4][xor_2d][baseline_Net1L] epoch 020/250 | loss=0.2493 | acc=0.8500
[EXP4][xor_2d][baseline_Net1L] epoch 040/250 | loss=0.2363 | acc=0.8625
[EXP4][xor_2d][baseline_Net1L] epoch 060/250 | loss=0.1898 | acc=0.9000
[EXP4][xor_2d][baseline_Net1L] epoch 080/250 | loss=0.1620 | acc=0.9000
[EXP4][xor_2d][baseline_Net1L] epoch 100/250 | loss=0.1344 | acc=0.9375
[EXP4][xor_2d][baseline_Net1L] epoch 120/250 | loss=0.1190 | acc=0.9625
[EXP4][xor_2d][baseline_Net1L] epoch 140/250 | loss=0.1252 | acc=0.9375
[EXP4][xor_2d][baseline_Net1L] epoch 160/250 | loss=0.0943 | acc=0.9750
[EXP4][xor_2d][baseline_Net1L] epoch 180/250 | loss=0.0826 | acc=0.9875
[EXP4][xor_2d][baseline_Net1L] epoch 200/250 | loss=0.0756 | acc=1.0000
[EXP4][xor_2d][baseline_Net1L] epoch 220/250 | loss=0.0640 | acc=1.0000
[EXP4][xor_2d][baseline_Net1L] epoch 240/250 | loss=0.0658 | acc=0.9750
[EXP4][xor_2d][baseline_Net1L] epoch 250/250 | loss=0.0596 | acc=0.9750

[EXP4] Dataset: xor_3d
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 001/250 | loss=1.6222 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 020/250 | loss=0.9228 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 040/250 | loss=0.9234 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 060/250 | loss=0.9214 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 080/250 | loss=0.9229 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase1]  epoch 100/250 | loss=0.9249 | acc=0.5000
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 120/250 | loss=0.6929 | acc=0.5250
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 140/250 | loss=0.6913 | acc=0.5375
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 160/250 | loss=0.6872 | acc=0.5563
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 180/250 | loss=0.6767 | acc=0.6062
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 200/250 | loss=0.6723 | acc=0.6062
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 220/250 | loss=0.6658 | acc=0.6000
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 240/250 | loss=0.6622 | acc=0.6188
[EXP4][xor_3d][staged_FullIsing][phase2]  epoch 250/250 | loss=0.6617 | acc=0.6125
[EXP4][xor_3d][baseline_FullIsing] epoch 001/250 | loss=1.2739 | acc=0.5687
[EXP4][xor_3d][baseline_FullIsing] epoch 020/250 | loss=0.6952 | acc=0.5188
[EXP4][xor_3d][baseline_FullIsing] epoch 040/250 | loss=0.6951 | acc=0.5188
[EXP4][xor_3d][baseline_FullIsing] epoch 060/250 | loss=0.6877 | acc=0.5312
[EXP4][xor_3d][baseline_FullIsing] epoch 080/250 | loss=0.6804 | acc=0.5500
[EXP4][xor_3d][baseline_FullIsing] epoch 100/250 | loss=0.6710 | acc=0.5687
[EXP4][xor_3d][baseline_FullIsing] epoch 120/250 | loss=0.6696 | acc=0.6000
[EXP4][xor_3d][baseline_FullIsing] epoch 140/250 | loss=0.6676 | acc=0.5875
[EXP4][xor_3d][baseline_FullIsing] epoch 160/250 | loss=0.6709 | acc=0.5875
[EXP4][xor_3d][baseline_FullIsing] epoch 180/250 | loss=0.6664 | acc=0.6062
[EXP4][xor_3d][baseline_FullIsing] epoch 200/250 | loss=0.6670 | acc=0.6062
[EXP4][xor_3d][baseline_FullIsing] epoch 220/250 | loss=0.6642 | acc=0.6000
[EXP4][xor_3d][baseline_FullIsing] epoch 240/250 | loss=0.6635 | acc=0.6125
[EXP4][xor_3d][baseline_FullIsing] epoch 250/250 | loss=0.6655 | acc=0.6125
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 001/250 | loss=2.0312 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 020/250 | loss=1.0889 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 040/250 | loss=1.0884 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 060/250 | loss=1.0882 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 080/250 | loss=1.0883 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase1]  epoch 100/250 | loss=1.0886 | acc=0.5000
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 120/250 | loss=0.6901 | acc=0.5062
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 140/250 | loss=0.5781 | acc=0.5125
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 160/250 | loss=0.4025 | acc=0.8000
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 180/250 | loss=0.2765 | acc=0.8375
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 200/250 | loss=0.2418 | acc=0.8750
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 220/250 | loss=0.2017 | acc=0.8938
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 240/250 | loss=0.2002 | acc=0.9125
[EXP4][xor_3d][staged_Net1L][phase2]  epoch 250/250 | loss=0.1921 | acc=0.7937
[EXP4][xor_3d][baseline_Net1L] epoch 001/250 | loss=1.6422 | acc=0.5000
[EXP4][xor_3d][baseline_Net1L] epoch 020/250 | loss=0.6665 | acc=0.6375
[EXP4][xor_3d][baseline_Net1L] epoch 040/250 | loss=0.4846 | acc=0.7812
[EXP4][xor_3d][baseline_Net1L] epoch 060/250 | loss=0.3694 | acc=0.7750
[EXP4][xor_3d][baseline_Net1L] epoch 080/250 | loss=0.2899 | acc=0.8313
