dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7000,0.6429,0.9000,0.7500,0.8300
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.9000,0.8333,1.0000,0.9091,0.9200
00_iris_versicolor_virginica,ModularNetwork,2,0.9000,1.0000,0.8000,0.8889,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8000,0.8000,0.8000,0.8000,0.8500
00_iris_versicolor_virginica,ModularNetwork,3,0.9000,0.8333,1.0000,0.9091,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5400
00_iris_versicolor_virginica,ModularNetwork,4,0.9000,1.0000,0.8000,0.8889,0.9200
00_iris_versicolor_virginica,FullIsingModule,5,0.6000,0.6000,0.6000,0.6000,0.6900
00_iris_versicolor_virginica,ModularNetwork,5,0.9000,0.8333,1.0000,0.9091,0.9100
01_vertebral_column,FullIsingModule,1,0.8000,0.8333,0.7500,0.7895,0.8925
01_vertebral_column,ModularNetwork,1,0.7500,0.7273,0.8000,0.7619,0.8075
01_vertebral_column,FullIsingModule,2,0.6250,0.6316,0.6000,0.6154,0.7825
01_vertebral_column,ModularNetwork,2,0.7750,0.7619,0.8000,0.7805,0.8675
01_vertebral_column,FullIsingModule,3,0.7250,0.6667,0.9000,0.7660,0.8075
01_vertebral_column,ModularNetwork,3,0.8000,0.8000,0.8000,0.8000,0.8500
01_vertebral_column,FullIsingModule,4,0.7500,0.7273,0.8000,0.7619,0.7825
01_vertebral_column,ModularNetwork,4,0.8250,0.8421,0.8000,0.8205,0.9150
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7475
01_vertebral_column,ModularNetwork,5,0.7750,0.8235,0.7000,0.7568,0.8825
02_banknote,FullIsingModule,1,0.8443,0.8818,0.7951,0.8362,0.8517
02_banknote,ModularNetwork,1,0.9877,1.0000,0.9754,0.9876,0.9999
02_banknote,FullIsingModule,2,0.7336,0.6939,0.8361,0.7584,0.8267
02_banknote,ModularNetwork,2,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,3,0.8279,0.8077,0.8607,0.8333,0.8777
02_banknote,ModularNetwork,3,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,4,0.8197,0.8545,0.7705,0.8103,0.8359
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.7951,0.8750,0.6885,0.7706,0.8351
02_banknote,ModularNetwork,5,1.0000,1.0000,1.0000,1.0000,1.0000
03_breast_cancer,FullIsingModule,1,0.6118,0.6098,0.5952,0.6024,0.6002
03_breast_cancer,ModularNetwork,1,0.8353,0.8889,0.7619,0.8205,0.9103
03_breast_cancer,FullIsingModule,2,0.5176,0.5068,0.8810,0.6435,0.5066
03_breast_cancer,ModularNetwork,2,0.8118,0.7826,0.8571,0.8182,0.8594
03_breast_cancer,FullIsingModule,3,0.5765,0.6000,0.4884,0.5385,0.5421
03_breast_cancer,ModularNetwork,3,0.8353,0.8372,0.8372,0.8372,0.9081
03_breast_cancer,FullIsingModule,4,0.5647,0.5882,0.4651,0.5195,0.5537
03_breast_cancer,ModularNetwork,4,0.8000,0.8095,0.7907,0.8000,0.8865
03_breast_cancer,FullIsingModule,5,0.5595,0.5385,0.8333,0.6542,0.5935
03_breast_cancer,ModularNetwork,5,0.8333,0.8182,0.8571,0.8372,0.9070
04_contraceptive_method,FullIsingModule,1,0.7015,0.6957,0.7164,0.7059,0.7536
04_contraceptive_method,ModularNetwork,1,0.7313,0.7818,0.6418,0.7049,0.7879
04_contraceptive_method,FullIsingModule,2,0.6316,0.6184,0.7015,0.6573,0.6903
04_contraceptive_method,ModularNetwork,2,0.6767,0.7143,0.5970,0.6504,0.7175
04_contraceptive_method,FullIsingModule,3,0.6992,0.7077,0.6866,0.6970,0.7644
