dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7200,0.1166,0.7086,0.0914,0.7400,0.2154,0.7118,0.1453,0.7660,0.1354
00_iris_versicolor_virginica,ModularNetwork,0.9200,0.0400,0.9333,0.0816,0.9200,0.0980,0.9192,0.0414,0.9420,0.0492
01_vertebral_column,FullIsingModule,0.7250,0.0570,0.7078,0.0699,0.7800,0.1030,0.7377,0.0622,0.8025,0.0489
01_vertebral_column,ModularNetwork,0.7850,0.0255,0.7910,0.0416,0.7800,0.0400,0.7839,0.0238,0.8645,0.0356
02_banknote,FullIsingModule,0.8041,0.0387,0.8226,0.0694,0.7902,0.0597,0.8018,0.0320,0.8454,0.0180
02_banknote,ModularNetwork,0.9975,0.0049,1.0000,0.0000,0.9951,0.0098,0.9975,0.0050,1.0000,0.0000
03_breast_cancer,FullIsingModule,0.5660,0.0303,0.5687,0.0395,0.6526,0.1733,0.5916,0.0543,0.5592,0.0345
03_breast_cancer,ModularNetwork,0.8231,0.0146,0.8273,0.0355,0.8208,0.0382,0.8226,0.0139,0.8943,0.0194
04_contraceptive_method,FullIsingModule,0.6486,0.0533,0.6474,0.0561,0.6542,0.0634,0.6501,0.0558,0.7145,0.0513
04_contraceptive_method,ModularNetwork,0.6771,0.0453,0.6925,0.0651,0.6546,0.0433,0.6704,0.0346,0.7457,0.0259
05_haberman_Survival,FullIsingModule,0.4619,0.1040,0.5025,0.1357,0.5706,0.2256,0.5021,0.0884,0.4876,0.0847
05_haberman_Survival,ModularNetwork,0.6053,0.0999,0.5922,0.0988,0.6412,0.1461,0.6138,0.1171,0.6066,0.0784
06_heart_failure,FullIsingModule,0.4430,0.0367,0.4430,0.0347,0.4789,0.1376,0.4510,0.0901,0.4370,0.0435
06_heart_failure,ModularNetwork,0.6354,0.0774,0.6518,0.0942,0.6042,0.0781,0.6243,0.0731,0.6819,0.0629
07_Ionosphere,FullIsingModule,0.6032,0.0442,0.6236,0.0194,0.5102,0.1496,0.5489,0.1131,0.6051,0.0285
07_Ionosphere,ModularNetwork,0.9046,0.0496,0.9317,0.0429,0.8726,0.0780,0.8998,0.0564,0.9699,0.0197
08_SPECTF_Heart,FullIsingModule,0.4000,0.0637,0.4214,0.0530,0.5750,0.1696,0.4797,0.0912,0.2125,0.0159
08_SPECTF_Heart,ModularNetwork,0.6875,0.0559,0.6817,0.0854,0.7500,0.1118,0.7046,0.0486,0.7438,0.1020
