dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7100,0.1281,0.6997,0.1030,0.7200,0.2315,0.6971,0.1590,0.7640,0.1439
00_iris_versicolor_virginica,ModularNetwork,0.9200,0.0510,0.9333,0.0816,0.9200,0.1166,0.9178,0.0577,0.9440,0.0480
01_vertebral_column,FullIsingModule,0.7300,0.0714,0.7048,0.0756,0.8000,0.1049,0.7462,0.0753,0.7980,0.0475
01_vertebral_column,ModularNetwork,0.7850,0.0122,0.7881,0.0439,0.7900,0.0735,0.7847,0.0230,0.8680,0.0251
02_banknote,FullIsingModule,0.6793,0.0465,0.6908,0.0977,0.5885,0.1548,0.6149,0.0436,0.7421,0.0238
02_banknote,ModularNetwork,0.9985,0.0018,1.0000,0.0000,0.9967,0.0040,0.9984,0.0020,1.0000,0.0000
03_breast_cancer,FullIsingModule,0.6274,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5108,0.0411
03_breast_cancer,ModularNetwork,0.8437,0.0317,0.8093,0.0636,0.7691,0.0812,0.7844,0.0464,0.9263,0.0216
04_contraceptive_method,FullIsingModule,0.7027,0.0263,0.6983,0.1116,0.2853,0.0877,0.3905,0.0969,0.7067,0.0324
04_contraceptive_method,ModularNetwork,0.7277,0.0165,0.6353,0.0539,0.5316,0.0620,0.5734,0.0193,0.7697,0.0133
05_haberman_Survival,FullIsingModule,0.7353,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5147,0.0926
05_haberman_Survival,ModularNetwork,0.6730,0.0386,0.3599,0.1035,0.2728,0.1108,0.2973,0.0879,0.6107,0.0637
06_heart_failure,FullIsingModule,0.6790,0.0152,0.2667,0.3887,0.0205,0.0252,0.0374,0.0460,0.4146,0.1111
06_heart_failure,ModularNetwork,0.6687,0.0513,0.4818,0.0730,0.4389,0.1217,0.4542,0.0940,0.6632,0.1008
07_Ionosphere,FullIsingModule,0.9002,0.0314,0.8943,0.0400,0.9600,0.0089,0.9255,0.0219,0.9589,0.0251
07_Ionosphere,ModularNetwork,0.9344,0.0195,0.9279,0.0107,0.9733,0.0218,0.9500,0.0151,0.9818,0.0131
08_SPECTF_Heart,FullIsingModule,0.7940,0.0019,0.7940,0.0019,1.0000,0.0000,0.8852,0.0012,0.7148,0.0252
08_SPECTF_Heart,ModularNetwork,0.8092,0.0306,0.8555,0.0252,0.9152,0.0183,0.8841,0.0177,0.8060,0.0311
