dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7500,0.8571,0.6000,0.7059,0.9000
00_iris_versicolor_virginica,NeuralNet,1,0.8500,0.8182,0.9000,0.8571,0.9800
00_iris_versicolor_virginica,FullIsingModule,2,0.7500,0.7273,0.8000,0.7619,0.7700
00_iris_versicolor_virginica,NeuralNet,2,0.9500,0.9091,1.0000,0.9524,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8500,0.8182,0.9000,0.8571,0.8700
00_iris_versicolor_virginica,NeuralNet,3,0.8500,0.8182,0.9000,0.8571,0.9700
00_iris_versicolor_virginica,FullIsingModule,4,0.6500,0.7143,0.5000,0.5882,0.7200
00_iris_versicolor_virginica,NeuralNet,4,0.9000,1.0000,0.8000,0.8889,0.9800
00_iris_versicolor_virginica,FullIsingModule,5,0.5556,0.5556,0.5556,0.5556,0.5679
00_iris_versicolor_virginica,NeuralNet,5,0.7778,0.6923,1.0000,0.8182,0.7901
01_vertebral_column,FullIsingModule,1,0.6750,0.6207,0.9000,0.7347,0.6575
01_vertebral_column,NeuralNet,1,0.8250,0.7600,0.9500,0.8444,0.9150
01_vertebral_column,FullIsingModule,2,0.8000,0.7500,0.9000,0.8182,0.8975
01_vertebral_column,NeuralNet,2,0.7750,0.7895,0.7500,0.7692,0.8350
01_vertebral_column,FullIsingModule,3,0.8000,0.8000,0.8000,0.8000,0.8500
01_vertebral_column,NeuralNet,3,0.8500,0.8182,0.9000,0.8571,0.8975
01_vertebral_column,FullIsingModule,4,0.7250,0.7368,0.7000,0.7179,0.8175
01_vertebral_column,NeuralNet,4,0.7250,0.6957,0.8000,0.7442,0.8400
01_vertebral_column,FullIsingModule,5,0.7105,0.7000,0.7368,0.7179,0.7784
01_vertebral_column,NeuralNet,5,0.6842,0.6667,0.7368,0.7000,0.7701
02_banknote,FullIsingModule,1,0.7090,0.7179,0.6885,0.7029,0.8003
02_banknote,NeuralNet,1,0.9836,1.0000,0.9672,0.9833,1.0000
02_banknote,FullIsingModule,2,0.8443,0.8281,0.8689,0.8480,0.8986
02_banknote,NeuralNet,2,0.9959,0.9919,1.0000,0.9959,1.0000
02_banknote,FullIsingModule,3,0.7992,0.8544,0.7213,0.7822,0.8295
02_banknote,NeuralNet,3,0.9795,1.0000,0.9590,0.9791,0.9999
02_banknote,FullIsingModule,4,0.6885,0.8026,0.5000,0.6162,0.7781
02_banknote,NeuralNet,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.7992,0.8067,0.7869,0.7967,0.8324
