dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7500,0.7778,0.7000,0.7368,0.8500
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.8500,0.7692,1.0000,0.8696,0.9200
00_iris_versicolor_virginica,ModularNetwork,2,0.9000,1.0000,0.8000,0.8889,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8500,0.8889,0.8000,0.8421,0.8600
00_iris_versicolor_virginica,ModularNetwork,3,0.8500,0.8182,0.9000,0.8571,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5400
00_iris_versicolor_virginica,ModularNetwork,4,0.8500,0.8889,0.8000,0.8421,0.9100
00_iris_versicolor_virginica,FullIsingModule,5,0.6000,0.6000,0.6000,0.6000,0.6700
00_iris_versicolor_virginica,ModularNetwork,5,0.8000,0.7500,0.9000,0.8182,0.8900
01_vertebral_column,FullIsingModule,1,0.8000,0.8333,0.7500,0.7895,0.8800
01_vertebral_column,ModularNetwork,1,0.6750,0.7059,0.6000,0.6486,0.8200
01_vertebral_column,FullIsingModule,2,0.6250,0.6316,0.6000,0.6154,0.7850
01_vertebral_column,ModularNetwork,2,0.7750,0.8235,0.7000,0.7568,0.8375
01_vertebral_column,FullIsingModule,3,0.7250,0.6667,0.9000,0.7660,0.7775
01_vertebral_column,ModularNetwork,3,0.8500,0.7692,1.0000,0.8696,0.9100
01_vertebral_column,FullIsingModule,4,0.7500,0.7273,0.8000,0.7619,0.7825
01_vertebral_column,ModularNetwork,4,0.8750,0.8571,0.9000,0.8780,0.9400
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7450
01_vertebral_column,ModularNetwork,5,0.7750,0.8235,0.7000,0.7568,0.8550
02_banknote,FullIsingModule,1,0.8279,0.9348,0.7049,0.8037,0.8515
02_banknote,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,2,0.6598,0.8095,0.4180,0.5514,0.8113
02_banknote,ModularNetwork,2,0.9959,0.9919,1.0000,0.9959,0.9997
02_banknote,FullIsingModule,3,0.8648,0.8739,0.8525,0.8631,0.9117
02_banknote,ModularNetwork,3,0.9959,1.0000,0.9918,0.9959,1.0000
02_banknote,FullIsingModule,4,0.6721,0.6207,0.8852,0.7297,0.8707
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.7746,0.8131,0.7131,0.7598,0.8240
02_banknote,ModularNetwork,5,1.0000,1.0000,1.0000,1.0000,1.0000
03_breast_cancer,FullIsingModule,1,0.6471,0.6579,0.5952,0.6250,0.6318
03_breast_cancer,ModularNetwork,1,0.8353,0.8889,0.7619,0.8205,0.9131
03_breast_cancer,FullIsingModule,2,0.5176,0.5128,0.4762,0.4938,0.5321
03_breast_cancer,ModularNetwork,2,0.8353,0.8182,0.8571,0.8372,0.8931
03_breast_cancer,FullIsingModule,3,0.6000,0.6216,0.5349,0.5750,0.5587
03_breast_cancer,ModularNetwork,3,0.7765,0.7857,0.7674,0.7765,0.8810
03_breast_cancer,FullIsingModule,4,0.5412,0.5400,0.6279,0.5806,0.5437
03_breast_cancer,ModularNetwork,4,0.8353,0.8222,0.8605,0.8409,0.8768
03_breast_cancer,FullIsingModule,5,0.6548,0.6140,0.8333,0.7071,0.7324
03_breast_cancer,ModularNetwork,5,0.8333,0.8182,0.8571,0.8372,0.9189
04_contraceptive_method,FullIsingModule,1,0.7015,0.7288,0.6418,0.6825,0.7603
04_contraceptive_method,ModularNetwork,1,0.6940,0.7321,0.6119,0.6667,0.7821
04_contraceptive_method,FullIsingModule,2,0.6391,0.6301,0.6866,0.6571,0.6974
04_contraceptive_method,ModularNetwork,2,0.7068,0.7333,0.6567,0.6929,0.7458
04_contraceptive_method,FullIsingModule,3,0.7293,0.7123,0.7761,0.7429,0.7682
04_contraceptive_method,ModularNetwork,3,0.7143,0.7231,0.7015,0.7121,0.7732
04_contraceptive_method,FullIsingModule,4,0.5414,0.5397,0.5152,0.5271,0.6309
04_contraceptive_method,ModularNetwork,4,0.6466,0.6462,0.6364,0.6412,0.7227
04_contraceptive_method,FullIsingModule,5,0.6391,0.6324,0.6515,0.6418,0.7454
04_contraceptive_method,ModularNetwork,5,0.6917,0.7119,0.6364,0.6720,0.7546
05_haberman_Survival,FullIsingModule,1,0.5758,0.7143,0.2941,0.4167,0.4301
05_haberman_Survival,ModularNetwork,1,0.4545,0.4800,0.7059,0.5714,0.5699
05_haberman_Survival,FullIsingModule,2,0.5455,0.5200,0.8125,0.6341,0.6066
05_haberman_Survival,ModularNetwork,2,0.4848,0.4615,0.3750,0.4138,0.4963
05_haberman_Survival,FullIsingModule,3,0.4688,0.4706,0.5000,0.4848,0.4707
05_haberman_Survival,ModularNetwork,3,0.5625,0.7500,0.1875,0.3000,0.5234
05_haberman_Survival,FullIsingModule,4,0.5000,0.5000,0.6250,0.5556,0.5000
05_haberman_Survival,ModularNetwork,4,0.4688,0.4545,0.3125,0.3704,0.5117
05_haberman_Survival,FullIsingModule,5,0.3750,0.4167,0.6250,0.5000,0.4180
05_haberman_Survival,ModularNetwork,5,0.5000,0.5000,0.1250,0.2000,0.4453
06_heart_failure,FullIsingModule,1,0.4359,0.4615,0.6000,0.5217,0.4421
06_heart_failure,ModularNetwork,1,0.5641,0.5789,0.5500,0.5641,0.5974
06_heart_failure,FullIsingModule,2,0.4615,0.4583,0.5789,0.5116,0.4579
06_heart_failure,ModularNetwork,2,0.6667,0.6667,0.6316,0.6486,0.7632
06_heart_failure,FullIsingModule,3,0.4211,0.3846,0.2632,0.3125,0.4294
06_heart_failure,ModularNetwork,3,0.5789,0.5789,0.5789,0.5789,0.6011
06_heart_failure,FullIsingModule,4,0.5263,0.5263,0.5263,0.5263,0.4460
06_heart_failure,ModularNetwork,4,0.7368,0.8000,0.6316,0.7059,0.7645
06_heart_failure,FullIsingModule,5,0.4211,0.4286,0.4737,0.4500,0.3657
