dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7000,0.7500,0.6000,0.6667,0.8300
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.8500,0.7692,1.0000,0.8696,0.9300
00_iris_versicolor_virginica,ModularNetwork,2,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8500,0.8889,0.8000,0.8421,0.8600
00_iris_versicolor_virginica,ModularNetwork,3,0.9000,0.8333,1.0000,0.9091,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5300
00_iris_versicolor_virginica,ModularNetwork,4,0.9000,1.0000,0.8000,0.8889,0.9100
00_iris_versicolor_virginica,FullIsingModule,5,0.6000,0.6000,0.6000,0.6000,0.6700
00_iris_versicolor_virginica,ModularNetwork,5,0.8500,0.7692,1.0000,0.8696,0.8800
01_vertebral_column,FullIsingModule,1,0.8000,0.8333,0.7500,0.7895,0.8750
01_vertebral_column,ModularNetwork,1,0.6000,0.6250,0.5000,0.5556,0.8200
01_vertebral_column,FullIsingModule,2,0.6500,0.6500,0.6500,0.6500,0.7825
01_vertebral_column,ModularNetwork,2,0.8000,0.8000,0.8000,0.8000,0.8550
01_vertebral_column,FullIsingModule,3,0.7250,0.6667,0.9000,0.7660,0.7900
01_vertebral_column,ModularNetwork,3,0.8500,0.7917,0.9500,0.8636,0.9150
01_vertebral_column,FullIsingModule,4,0.7250,0.7143,0.7500,0.7317,0.7950
01_vertebral_column,ModularNetwork,4,0.8250,0.8824,0.7500,0.8108,0.9375
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7325
01_vertebral_column,ModularNetwork,5,0.8250,0.8824,0.7500,0.8108,0.8625
02_banknote,FullIsingModule,1,0.6945,0.6462,0.6885,0.6667,0.7117
02_banknote,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,2,0.7273,0.7009,0.6721,0.6862,0.7431
02_banknote,ModularNetwork,2,0.9891,0.9760,1.0000,0.9879,0.9995
02_banknote,FullIsingModule,3,0.7372,0.7016,0.7131,0.7073,0.7359
02_banknote,ModularNetwork,3,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,4,0.6752,0.7089,0.4590,0.5572,0.6949
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.6934,0.6203,0.8033,0.7000,0.7127
02_banknote,ModularNetwork,5,1.0000,1.0000,1.0000,1.0000,1.0000
