dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7200,0.1122,0.7350,0.0980,0.6800,0.2040,0.6957,0.1414,0.7640,0.1447
00_iris_versicolor_virginica,ModularNetwork,0.9300,0.0600,0.9205,0.0994,0.9600,0.0800,0.9335,0.0557,0.9340,0.0550
01_vertebral_column,FullIsingModule,0.7250,0.0474,0.7089,0.0657,0.7800,0.0872,0.7385,0.0480,0.7950,0.0458
01_vertebral_column,ModularNetwork,0.7800,0.0914,0.7963,0.0940,0.7500,0.1449,0.7682,0.1086,0.8780,0.0425
02_banknote,FullIsingModule,0.7055,0.0231,0.6755,0.0356,0.6672,0.1135,0.6635,0.0549,0.7196,0.0175
02_banknote,ModularNetwork,0.9978,0.0044,0.9952,0.0096,1.0000,0.0000,0.9976,0.0049,0.9999,0.0002
03_breast_cancer,FullIsingModule,0.6274,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4957,0.0629
03_breast_cancer,ModularNetwork,0.8419,0.0335,0.8132,0.0788,0.7688,0.0847,0.7836,0.0399,0.9210,0.0329
04_contraceptive_method,FullIsingModule,0.6944,0.0324,0.5862,0.0709,0.3992,0.1232,0.4656,0.0963,0.7166,0.0376
04_contraceptive_method,ModularNetwork,0.7090,0.0209,0.6183,0.0595,0.4771,0.1283,0.5234,0.0599,0.7584,0.0130
05_haberman_Survival,FullIsingModule,0.7353,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5216,0.0719
05_haberman_Survival,ModularNetwork,0.6600,0.0508,0.2607,0.0969,0.1493,0.0942,0.1768,0.0809,0.5811,0.0417
06_heart_failure,FullIsingModule,0.6823,0.0021,0.3000,0.4000,0.0205,0.0252,0.0381,0.0467,0.4219,0.1142
06_heart_failure,ModularNetwork,0.6620,0.0402,0.4756,0.0665,0.4068,0.0643,0.4352,0.0549,0.6608,0.0810
07_Ionosphere,FullIsingModule,0.8945,0.0347,0.8873,0.0430,0.9600,0.0089,0.9217,0.0239,0.9577,0.0265
07_Ionosphere,ModularNetwork,0.9429,0.0256,0.9415,0.0364,0.9733,0.0166,0.9566,0.0187,0.9844,0.0123
08_SPECTF_Heart,FullIsingModule,0.7940,0.0019,0.7940,0.0019,1.0000,0.0000,0.8852,0.0012,0.7118,0.0223
08_SPECTF_Heart,ModularNetwork,0.7980,0.0324,0.8381,0.0219,0.9247,0.0169,0.8792,0.0185,0.8134,0.0358
