dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.5000,0.0000,0.5000,0.0000,1.0000,0.0000,0.6667,0.0000,0.9580,0.0479
00_iris_versicolor_virginica,NeuralNet,0.9700,0.0245,0.9636,0.0445,0.9800,0.0400,0.9704,0.0242,0.9940,0.0080
01_vertebral_column,FullIsingModule,0.4974,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7756,0.0602
01_vertebral_column,NeuralNet,0.8291,0.0369,0.8230,0.0680,0.8600,0.1114,0.8324,0.0445,0.9136,0.0185
02_banknote,FullIsingModule,0.8278,0.0630,0.7642,0.0582,0.9525,0.0493,0.8477,0.0538,0.9103,0.0526
02_banknote,NeuralNet,0.9877,0.0058,0.9887,0.0120,0.9869,0.0040,0.9877,0.0057,0.9994,0.0004
03_breast_cancer,FullIsingModule,0.5862,0.0401,0.5511,0.0250,0.9625,0.0237,0.7004,0.0198,0.7602,0.0434
03_breast_cancer,NeuralNet,0.8487,0.0516,0.8647,0.0313,0.8256,0.0814,0.8438,0.0569,0.9271,0.0352
04_contraceptive_method,FullIsingModule,0.5519,0.0199,0.5320,0.0157,0.8768,0.0559,0.6611,0.0131,0.6422,0.0589
04_contraceptive_method,NeuralNet,0.6917,0.0326,0.6864,0.0304,0.7082,0.0769,0.6949,0.0390,0.7576,0.0427
05_haberman_Survival,FullIsingModule,0.5403,0.0414,0.5260,0.0287,0.8750,0.0884,0.6537,0.0176,0.6513,0.0624
05_haberman_Survival,NeuralNet,0.6701,0.1107,0.7755,0.1598,0.4750,0.1794,0.5748,0.1663,0.7216,0.0534
06_heart_failure,FullIsingModule,0.5026,0.0051,0.5026,0.0051,1.0000,0.0000,0.6689,0.0045,0.6255,0.0969
06_heart_failure,NeuralNet,0.6489,0.0731,0.6447,0.0742,0.6658,0.0997,0.6537,0.0832,0.6684,0.0676
07_Ionosphere,FullIsingModule,0.5856,0.0211,0.5466,0.0120,0.9920,0.0160,0.7047,0.0089,0.9137,0.0633
07_Ionosphere,NeuralNet,0.9242,0.0529,0.9646,0.0439,0.8800,0.0839,0.9188,0.0601,0.9731,0.0359
08_SPECTF_Heart,FullIsingModule,0.4933,0.0133,0.4933,0.0133,1.0000,0.0000,0.6606,0.0121,0.7920,0.0493
08_SPECTF_Heart,NeuralNet,0.6342,0.1721,0.6202,0.1857,0.6464,0.2114,0.6295,0.1903,0.6924,0.1925
