dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
1D,FullIsingModule,0.5000,0.0000,0.5000,0.0000,1.0000,0.0000,0.6667,0.0000,1.0000,0.0000
1D,Network_1L,0.9750,0.0000,0.9524,0.0000,1.0000,0.0000,0.9756,0.0000,1.0000,0.0000
2D,FullIsingModule,0.5000,0.0000,0.5000,0.0000,1.0000,0.0000,0.6667,0.0000,0.7300,0.0000
2D,Network_1L,0.9375,0.0000,0.9268,0.0000,0.9500,0.0000,0.9383,0.0000,0.9881,0.0000
3D,FullIsingModule,0.6000,0.0000,0.5625,0.0000,0.9000,0.0000,0.6923,0.0000,0.6748,0.0000
3D,Network_1L,0.8750,0.0000,0.9054,0.0000,0.8375,0.0000,0.8701,0.0000,0.9544,0.0000
4D,FullIsingModule,0.5156,0.0000,0.5080,0.0000,0.9875,0.0000,0.6709,0.0000,0.6224,0.0000
4D,Network_1L,0.9437,0.0000,0.9671,0.0000,0.9187,0.0000,0.9423,0.0000,0.9914,0.0000
5D,FullIsingModule,0.5250,0.0000,0.5303,0.0000,0.4375,0.0000,0.4795,0.0000,0.5514,0.0000
5D,Network_1L,0.8328,0.0000,0.8515,0.0000,0.8063,0.0000,0.8283,0.0000,0.9207,0.0000
6D,FullIsingModule,0.5578,0.0000,0.5486,0.0000,0.6531,0.0000,0.5963,0.0000,0.5783,0.0000
6D,Network_1L,0.8242,0.0000,0.8752,0.0000,0.7562,0.0000,0.8114,0.0000,0.9077,0.0000
