dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7500,0.6923,0.9000,0.7826,0.8500
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.8000,0.7500,0.9000,0.8182,0.9000
00_iris_versicolor_virginica,ModularNetwork,2,0.9500,1.0000,0.9000,0.9474,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8000,0.8000,0.8000,0.8000,0.8400
00_iris_versicolor_virginica,ModularNetwork,3,0.9000,0.8333,1.0000,0.9091,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5300
00_iris_versicolor_virginica,ModularNetwork,4,0.8500,1.0000,0.7000,0.8235,0.9600
00_iris_versicolor_virginica,FullIsingModule,5,0.6000,0.6000,0.6000,0.6000,0.6700
00_iris_versicolor_virginica,ModularNetwork,5,0.8500,0.7692,1.0000,0.8696,0.9500
01_vertebral_column,FullIsingModule,1,0.7750,0.7895,0.7500,0.7692,0.8850
01_vertebral_column,ModularNetwork,1,0.7500,0.7273,0.8000,0.7619,0.8225
01_vertebral_column,FullIsingModule,2,0.6500,0.6500,0.6500,0.6500,0.7925
01_vertebral_column,ModularNetwork,2,0.7750,0.7619,0.8000,0.7805,0.8825
01_vertebral_column,FullIsingModule,3,0.7000,0.6538,0.8500,0.7391,0.7950
01_vertebral_column,ModularNetwork,3,0.8250,0.8095,0.8500,0.8293,0.8925
01_vertebral_column,FullIsingModule,4,0.7750,0.7391,0.8500,0.7907,0.7850
01_vertebral_column,ModularNetwork,4,0.8250,0.8095,0.8500,0.8293,0.9150
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7350
01_vertebral_column,ModularNetwork,5,0.8250,0.8824,0.7500,0.8108,0.8900
02_banknote,FullIsingModule,1,0.8689,0.9091,0.8197,0.8621,0.8630
02_banknote,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,2,0.7541,0.7246,0.8197,0.7692,0.7674
02_banknote,ModularNetwork,2,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,3,0.8238,0.7762,0.9098,0.8377,0.8308
02_banknote,ModularNetwork,3,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,4,0.8033,0.8627,0.7213,0.7857,0.8368
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.8074,0.8713,0.7213,0.7892,0.8582
02_banknote,ModularNetwork,5,1.0000,1.0000,1.0000,1.0000,1.0000
03_breast_cancer,FullIsingModule,1,0.6706,0.6750,0.6429,0.6585,0.6318
03_breast_cancer,ModularNetwork,1,0.8353,0.8889,0.7619,0.8205,0.9059
03_breast_cancer,FullIsingModule,2,0.5059,0.5000,0.8571,0.6316,0.4302
