dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7000,0.6429,0.9000,0.7500,0.8600
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.9000,0.8333,1.0000,0.9091,0.9000
00_iris_versicolor_virginica,ModularNetwork,2,0.9500,1.0000,0.9000,0.9474,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.8000,0.8000,0.8000,0.8000,0.8600
00_iris_versicolor_virginica,ModularNetwork,3,0.9000,0.8333,1.0000,0.9091,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5200
00_iris_versicolor_virginica,ModularNetwork,4,0.8500,1.0000,0.7000,0.8235,0.9200
00_iris_versicolor_virginica,FullIsingModule,5,0.5500,0.5556,0.5000,0.5263,0.6800
00_iris_versicolor_virginica,ModularNetwork,5,0.9000,0.8333,1.0000,0.9091,0.9200
01_vertebral_column,FullIsingModule,1,0.8500,0.8500,0.8500,0.8500,0.8900
01_vertebral_column,ModularNetwork,1,0.7750,0.7391,0.8500,0.7907,0.8250
01_vertebral_column,FullIsingModule,2,0.6250,0.6316,0.6000,0.6154,0.7775
01_vertebral_column,ModularNetwork,2,0.7750,0.7619,0.8000,0.7805,0.8650
01_vertebral_column,FullIsingModule,3,0.7250,0.6667,0.9000,0.7660,0.7750
01_vertebral_column,ModularNetwork,3,0.8000,0.7727,0.8500,0.8095,0.8700
01_vertebral_column,FullIsingModule,4,0.7250,0.6957,0.8000,0.7442,0.7925
01_vertebral_column,ModularNetwork,4,0.8000,0.8000,0.8000,0.8000,0.9025
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7550
01_vertebral_column,ModularNetwork,5,0.7750,0.8667,0.6500,0.7429,0.8775
02_banknote,FullIsingModule,1,0.6873,0.7143,0.4918,0.5825,0.7085
02_banknote,ModularNetwork,1,0.9964,1.0000,0.9918,0.9959,1.0000
02_banknote,FullIsingModule,2,0.6073,0.5343,0.8934,0.6687,0.7756
02_banknote,ModularNetwork,2,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,3,0.7044,0.7204,0.5492,0.6233,0.7537
02_banknote,ModularNetwork,3,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,4,0.7445,0.8333,0.5328,0.6500,0.7224
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.6533,0.6517,0.4754,0.5498,0.7501
02_banknote,ModularNetwork,5,0.9964,1.0000,0.9918,0.9959,1.0000
03_breast_cancer,FullIsingModule,1,0.6316,0.0000,0.0000,0.0000,0.4745
03_breast_cancer,ModularNetwork,1,0.8070,0.7381,0.7381,0.7381,0.9064
03_breast_cancer,FullIsingModule,2,0.6316,0.0000,0.0000,0.0000,0.5397
03_breast_cancer,ModularNetwork,2,0.8333,0.7949,0.7381,0.7654,0.9243
03_breast_cancer,FullIsingModule,3,0.6228,0.0000,0.0000,0.0000,0.5778
03_breast_cancer,ModularNetwork,3,0.8333,0.7500,0.8372,0.7912,0.9032
03_breast_cancer,FullIsingModule,4,0.6228,0.0000,0.0000,0.0000,0.4769
03_breast_cancer,ModularNetwork,4,0.8421,0.9032,0.6512,0.7568,0.9348
03_breast_cancer,FullIsingModule,5,0.6283,0.0000,0.0000,0.0000,0.4849
03_breast_cancer,ModularNetwork,5,0.9027,0.8605,0.8810,0.8706,0.9628
04_contraceptive_method,FullIsingModule,1,0.6839,0.8000,0.1194,0.2078,0.6875
04_contraceptive_method,ModularNetwork,1,0.7306,0.6364,0.5224,0.5738,0.7677
04_contraceptive_method,FullIsingModule,2,0.7150,0.6667,0.3582,0.4660,0.7277
04_contraceptive_method,ModularNetwork,2,0.6995,0.5652,0.5821,0.5735,0.7664
04_contraceptive_method,FullIsingModule,3,0.6615,0.5128,0.3030,0.3810,0.6712
04_contraceptive_method,ModularNetwork,3,0.7240,0.5942,0.6212,0.6074,0.7892
04_contraceptive_method,FullIsingModule,4,0.7344,0.8261,0.2879,0.4270,0.7596
04_contraceptive_method,ModularNetwork,4,0.7344,0.6596,0.4697,0.5487,0.7766
04_contraceptive_method,FullIsingModule,5,0.7188,0.6857,0.3582,0.4706,0.6873
04_contraceptive_method,ModularNetwork,5,0.7500,0.7209,0.4627,0.5636,0.7487
05_haberman_Survival,FullIsingModule,1,0.7258,0.0000,0.0000,0.0000,0.4163
05_haberman_Survival,ModularNetwork,1,0.7258,0.5000,0.1765,0.2609,0.6771
05_haberman_Survival,FullIsingModule,2,0.7377,0.0000,0.0000,0.0000,0.5042
05_haberman_Survival,ModularNetwork,2,0.6230,0.2941,0.3125,0.3030,0.6097
05_haberman_Survival,FullIsingModule,3,0.7377,0.0000,0.0000,0.0000,0.4472
05_haberman_Survival,ModularNetwork,3,0.7049,0.4167,0.3125,0.3571,0.6847
05_haberman_Survival,FullIsingModule,4,0.7377,0.0000,0.0000,0.0000,0.5222
